IMPRESA,INDIRIZZO,COMUNE,CATEGORIA,SOTTOCATEGORIA,POSIZIONE,CODICE,DENOMINAZIONE URBANISTICA GENERICA,DENOMINAZIONE UFFICIALE,LOCALITA’,NUMERO CIVICO,ESPONENTE,CODICE POSTALE,CODICE ASSEGNATO AI COMUNI DA ISTAT,COMUNITA’ DI VALLE,TELEFONO,E-MAIL,SITO INTERNET,LATITUDINE,LONGITUDINE,POSITION
RISTORANTE HOTEL GLORIA,"VIA LUNGOLAGO, 15",MOLVENO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.14014,10.96515",401,VIA,LUNGOLAGO,,15,,38018,022120,COMUNITA' DELLA PAGANELLA,0461-586962,info@gloriahotel.it,https://www.gloriahotel.it/it/?gclid=CjwKCAjwt7SWBhAnEiwAx8ZLagLLepc5tYD05zm3a0LRkLAK-9eb_5lnR2ohfe6WDpmU4tYVD8aglBoCp6kQAvD_BwE,46.14014,10.96515,
RISTORANTE ALBERGO STELLA ALPINA,"VIA CESARE BATTISTI, 6",MOLVENO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.14284,10.96381",402,VIA,CESARE BATTISTI,,6,,38018,022120,COMUNITA' DELLA PAGANELLA,0461-586918,,https://www.hotelstellaalpina.com/,46.14284,10.96381,
CENTRO FOTO OTTICA,"PIAZZA SAN CARLO, 3",MOLVENO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.14254,10.96662",403,PIAZZA,SAN CARLO,,3,,38018,022120,COMUNITA' DELLA PAGANELLA,0461-586188,,,46.14254,10.96662,
RISTORANTE ALBERGO DEL BRENTA,"LOCALITA' PRADEL, 7",MOLVENO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.15172,10.96086",404,,,PRADEL,7,,38018,022120,COMUNITA' DELLA PAGANELLA,0461-586902,,https://www.alberghidelbrentaepradel.com/html/del_brenta.html,46.15172,10.96086,
RISTORANTE ALBERGO PRADEL,"LOCALITA' PRADEL, 11",MOLVENO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.15138,10.96027",405,,,PRADEL,11,,38018,022120,COMUNITA' DELLA PAGANELLA,,,,46.15138,10.96027,
ANGOLO MODA,"PIAZZA SAN CARLO, 11-A",MOLVENO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.14215,10.96682",406,PIAZZA,SAN CARLO,,11,A,38018,022120,COMUNITA' DELLA PAGANELLA,0461-586061,,,46.14215,10.96682,
CRONST,"VIA GALILEO GALILEI, 25",TRENTO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.06778,11.12619",407,VIA,GALILEO GALILEI,,25,,38122,022205,TERRITORIO VAL D'ADIGE,0461-236478,info@cronst.it,https://www.cronst.eu/,46.06778,11.12619,
RAFFAELLA,"VIA NOVE NOVEMBRE, 10",CAVALESE,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.29273,11.45747",409,VIA,NOVE NOVEMBRE,,10,,38033,022050,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-341144 – 339 394 1252,info@negozioraffaella.it,https://www.negozioraffaella.it/,46.29273,11.45747,
MACELLERIA MINIMARKET HIGHLANDER,"GHIAIE, 7-A",CANAL SAN BOVO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.19488,11.68001",412,,,GHIAIE,7,A,38050,022038,COMUNITA' DI PRIMIERO,0439-710016,,http://www.highlandervanoi.it/,46.19488,11.68001,
BAR RISTORANTE ALBERGO AL PIN,"LOCALITA' SPERANDI, 111",CANAL SAN BOVO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.19784,11.67576",413,,,SPERANDI,111,,38050,022038,COMUNITA' DI PRIMIERO,0439-710265,info@albergo-alpin.it,https://www.albergo-alpin.it/,46.19784,11.67576,
OSTERIA ALLE FOSSE,"VIA FOSSE, 148",CANAL SAN BOVO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.15343,11.71952",414,VIA,FOSSE,,148,,38050,022038,COMUNITA' DI PRIMIERO,,,,46.15343,11.71952,
RISTORANTE ALBERGO LAGORAI,"LOCALITA' LAUSEN, 12",CANAL SAN BOVO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.14859,11.73495",415,,,LAUSEN,12,,38050,022038,COMUNITA' DI PRIMIERO,347 892 7892 – 0439-719016,michelilino@gmail.com,https://www.albergolagorai.it/,46.14859,11.73495,
RISTORANTE ALBERGO SERENELLA,"LOCALITA' ZORTEA, 56",CANAL SAN BOVO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.16267,11.74889",416,,,ZORTEA,56,,38050,022038,COMUNITA' DI PRIMIERO,320 414 7863,,http://www.albergoserenella.net/IT-Dove.html,46.16267,11.74889,
CENTRO SPESA RONCO DI BANGONI ARIANNA,"LOCALITA' FOSSE, 141",CANAL SAN BOVO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.15234,11.72005",417,,,FOSSE,141,,38050,022038,COMUNITA' DI PRIMIERO,0439-719686,centrospesaronco@gmail.com,,46.15234,11.72005,
FAMIGLIA COOPERATIVA ZORTEA,"VIA ZORTEA, 57-B",CANAL SAN BOVO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.16257,11.74850",418,VIA,ZORTEA,,57,B,38050,022038,COMUNITA' DI PRIMIERO,0439-719015,,https://www.laspesainfamiglia.coop/Famiglie-Cooperative/Famiglia-Cooperativa-Zortea/FC-Zortea,46.16257,11.74850,
FAMIGLIA COOPERATIVA CANAL SAN BOVO,"VIA ROMA, 17",CANAL SAN BOVO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.15537,11.73236",419,VIA,ROMA,,17,,38050,022038,COMUNITA' DI PRIMIERO,0439-719067,,https://www.laspesainfamiglia.coop/Famiglie-Cooperative/Famiglia-Cooperativa-Vanoi/FC-Vanoi-Canal-San-Bovo,46.15537,11.73236,
FAMIGLIA COOPERATIVA CAORIA,"LOCALITA' CASERI, 8",CANAL SAN BOVO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.19738,11.67936",420,,,CASERI,8,,38050,022038,COMUNITA' DI PRIMIERO,0439-710001,,https://www.laspesainfamiglia.coop/Famiglie-Cooperative/Famiglia-Cooperativa-Vanoi/FC-Vanoi-Caoria,46.19738,11.67936,
FAMIGLIA COOPERATIVA PRADE,"PIAZZA GUGLIELMO MARCONI, 14 - PRADEL",CANAL SAN BOVO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.15082,11.79687",421,PIAZZA,GUGLIELMO MARCONI,PRADEL,14,,38050,022038,COMUNITA' DI PRIMIERO,0439-719094,,https://www.laspesainfamiglia.coop/Famiglie-Cooperative/Famiglia-Cooperativa-Vanoi/FC-Vanoi-Prade,46.15082,11.79687,
FERRAMENTA FEDRIZZI,"VIA GUGLIELMO MARCONI, 28 - PONTE ARCHE",COMANO TERME,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.03640,10.86848",422,VIA,GUGLIELMO MARCONI,PONTE ARCHE,28,,38077,022228,COMUNITA' DELLE GIUDICARIE,0465-701415,info@fedrizzicomanoterme.it,https://www.ferramentafedrizzi.it/,46.03640,10.86848,
CAFFE’ ROMA,"LARGO DORDI, 3",BORGO VALSUGANA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.05395,11.45639",423,LARGO,DORDI,,3,,38051,022022,COMUNITA' VALSUGANA E TESINO,,,,46.05395,11.45639,
BAR RISTORANTE ALBERGO AL CERVO,"VIA QUATTRO NOVEMBRE, 18",TESERO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.28924,11.51180",424,VIA,QUATTRO NOVEMBRE,,18,,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-813139,info@albergoalcervo.com,https://www.albergoalcervo.com/,46.28924,11.51180,
BAR ANCORA,"VIA QUATTRO NOVEMBRE, 32",TESERO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.28954,11.51048",425,VIA,QUATTRO NOVEMBRE,,32,,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-813117,trettelmarco@gmail.com,https://www.ancoratesero.com/,46.28954,11.51048,
CARTOLIBRERIA DEFLORIAN,"VIA ROMA, 78",TESERO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.28849,11.51152",426,VIA,ROMA,,78,,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,320 371 7730 – 0462-813115,info@deflocart.com,https://www.deflocart.com/,46.28849,11.51152,
RISTORANTE HOTEL ERICA,"LOCALITA' STAVA, 1",TESERO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.31469,11.50328",427,,,STAVA,1,,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-810186,,,46.31469,11.50328,
CALZATURE ZENI SPORT,"VIA QUATTRO NOVEMBRE, 21-B",TESERO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.28916,11.51179",428,VIA,QUATTRO NOVEMBRE,,21,B,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-813022,,,46.28916,11.51179,
VALENTINO SCARPE,"VIA ROMA, 88",TESERO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.28818,11.51223",429,VIA,ROMA,,88,,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-813236,,,46.28818,11.51223,
EUFORIA INTIMO,"PIAZZA NUOVA, 5-B",TESERO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.28937,11.51160",430,PIAZZA,NUOVA,,5,B,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-813403,,,46.28937,11.51160,
BAR STELLA,"VIA ROMA, 29",TESERO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.28949,11.51000",431,VIA,ROMA,,29,,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-813111,,,46.28949,11.51000,
CANAL KATIA TABACCHERIA,"VIA ROMA, 29",TESERO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.28948,11.51003",432,VIA,ROMA,,29,,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-814323,,,46.28948,11.51003,
ELETTROSOC DI GILMOZZI ERNESTO,"VIA SOCCE, 2",TESERO,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.28873,11.50695",433,VIA,SOCCE,,2,,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-813120 – 380 289 9329,info@elettrosoc.it,http://www.elettrosoc.it/,46.28873,11.50695,
MOBILIFICIO SILVIO DELLADIO,"VIA ROMA, 24",TESERO,SETTORE NON ALIMENTARE,ARTIGIANO,"46.28932,11.50785",434,VIA,ROMA,,24,,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-813057,info@delladioarredamenti.it,http://delladioarredamenti.it/,46.28932,11.50785,
FAMIGLIA COOPERATIVA,"VIA CAVADA, 6",TESERO,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.28987,11.51174",435,VIA,CAVADA,,6,,38038,022196,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-813031,,,46.28987,11.51174,
BAR PASTICCERIA MAZZOLENI,"PIAZZA GENERALE ANTONIO CANTORE, 28",TRENTO,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,ARTIGIANO,"46.07734,11.12030",436,PIAZZA,GENERALE ANTONIO CANTORE,,28,,38121,022205,TERRITORIO VAL D'ADIGE,340 459 5015,mazzolenifrancy@gmail.com,,46.07734,11.12030,
PROFUMERIA BOSCHETTO,"VIA FRATELLI BRONZETTI, 5",CAVALESE,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.29129,11.46095",437,VIA,FRATELLI BRONZETTI,,5,,38069,022050,COMUNITA' TERRITORIALE DELLA VALLE DI FIEMME,0462-340136,profumeriaboschettocavalese@gmail.com,https://www.profumeriasaloneboschetto.it/,46.29129,11.46095,
L. MALGHER,"PIAZA DEL MALGHER, 1 - POZZA DI FASSA",SAN GIOVANNI DI FASSA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.43078,11.68717",438,PIAZA,DEL MALGHER,POZZA DI FASSA,1,,38036,022250,COMUNITA’ GENERAL DE FASCIA,0462-763688,,,46.43078,11.68717,
LINO SPORT,"STRADA DE MEIDA, 78 - POZZA DI FASSA",SAN GIOVANNI DI FASSA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.42996,11.69122",439,STRADA,DE MEIDA,POZZA DI FASSA,78,,38036,022250,COMUNITA’ GENERAL DE FASCIA,0462-763358,info@linosport.it,http://www.linosport.it,46.42996,11.69122,
RISTORANTE ALBERGO RIZZI,"PIAZA DE SALIN, 6 - POZZA DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.43632,11.69061",440,PIAZA,DE SALIN,POZZA DI FASSA,6,,38036,022250,COMUNITA’ GENERAL DE FASCIA,0462-764123,,,46.43632,11.69061,
ELETTROGAS PEDERIVA,"STRADA DOLOMITES, 121 - POZZA DI FASSA",SAN GIOVANNI DI FASSA,SETTORE NON ALIMENTARE,ARTIGIANO,"46.42903,11.68508",441,STRADA,DOLOMITES,POZZA DI FASSA,121,,38036,022250,COMUNITA’ GENERAL DE FASCIA,,,,46.42903,11.68508,
PANIFICIO EL PEK,"PIAZA DEODAT DE DOLOMIEU, 4 - POZZA DI FASSA",SAN GIOVANNI DI FASSA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.43036,11.68994",442,PIAZA,DEODAT DE DOLOMIEU,POZZA DI FASSA,4,,38036,022250,COMUNITA’ GENERAL DE FASCIA,0462-763235,,,46.43036,11.68994,
FAMIGLIA COOPERATIVA POZZA DI FASSA,"PIAZA DE COMUN, 11 - POZZA DI FASSA",SAN GIOVANNI DI FASSA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.42988,11.68634",443,PIAZA,DE COMUN,POZZA DI FASSA,11,,38036,022250,COMUNITA’ GENERAL DE FASCIA,0462-761211,info@fassacoop.it,https://www.fassacoop.it/,46.42988,11.68634,
BAR AL PONTE,"STRADA DE MEIDA, 1 - POZZA DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.43047,11.68632",444,STRADA,DE MEIDA,POZZA DI FASSA,1,,38036,022250,COMUNITA’ GENERAL DE FASCIA,0462-760108,info@baralpontepozza.com,https://baralpontepozza.com/#menu,46.43047,11.68632,
PANIFICIO BERNARD,"TROI GIOVANNI FRANCESCO BERNARD, 5 - POZZA DI FASSA",SAN GIOVANNI DI FASSA,SETTORE ALIMENTARE,ARTIGIANO,"46.43728,11.69219",445,TROI,GIOVANNI FRANCESCO BERNARD,POZZA DI FASSA,5,,38036,022250,COMUNITA’ GENERAL DE FASCIA,0462-763129,,,46.43728,11.69219,
PANIFICIO BONINSEGNA,"STRADA REZIA, 26",SORAGA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.42009,11.67205",446,STRADA,REZIA,,26,,38030,022176,COMUNITA’ GENERAL DE FASCIA,0462-763563,,,46.42009,11.67205,
BAR RISTORANTE HOTEL DE FRONZ,"STRADA DE PONT, 35",SORAGA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.39227,11.66707",447,STRADA,DE PONT,,35,,38030,022176,COMUNITA’ GENERAL DE FASCIA,0462-768222,,,46.39227,11.66707,
BAR RISTORANTE HOTEL AVISIO,"STRADONE DE FASCIA, 8",SORAGA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.39529,11.66771",448,STRADONE,DE FASCIA,,8,,38030,022176,COMUNITA’ GENERAL DE FASCIA,339 881 9558 – 0462-768130,info@hotelavisio.it,https://www.hotelavisio.it/it/ristorante-soraga-val-di-fassa,46.39529,11.66771,
FAMIGLIA COOPERATIVA SORAGA,"STRADONE DE FASCIA, 16",SORAGA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.39571,11.66844",449,STRADONE,DE FASCIA,,16,,38030,022176,COMUNITA’ GENERAL DE FASCIA,0462-768169,filialesoraga@fassacoop.it,https://www.fassacoop.it/margherita-di-soraga/,46.39571,11.66844,
SPORT BRUNEL,"STRADA DA MOLIN, 15",SORAGA,SETTORE NON ALIMENTARE,ARTIGIANO,"46.39994,11.67208",450,STRADA,DA MOLIN,,15,,38030,022176,COMUNITA’ GENERAL DE FASCIA,0462-758010,info@brunelsport.com,https://www.brunelsport.com/,46.39994,11.67208,
TABACCHERIA GIULIANI,"STRADONE DE FASCIA, 3",SORAGA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.39518,11.66721",451,STRADONE,DE FASCIA,,3,,38030,022176,COMUNITA’ GENERAL DE FASCIA,0462-758011,,,46.39518,11.66721,
BAR RISTORANTE HOTEL ROSALPINA,"STRADA DE PALUA, 2",SORAGA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.39342,11.66593",452,STRADA,DE PALUA,,2,,38030,022176,COMUNITA’ GENERAL DE FASCIA,0462-768137,reception@hotelrosalpina.eu,https://www.hotelrosalpina.eu/,46.39342,11.66593,
BAR RISTORANTE HOTEL ROSA,"STRADA REZIA, 5 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.41988,11.67275",453,STRADA,REZIA,VIGO DI FASSA,5,,38039,022250,COMUNITA’ GENERAL DE FASCIA,,,,46.41988,11.67275,
TABACCHI E SOUVENIRS GHETTA FABRIZIO,"STRADA DE LA PIAZEDELA, 3 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.42028,11.67396",454,STRADA,DE LA PIAZEDELA,VIGO DI FASSA,3,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-764293,,,46.42028,11.67396,
FOTO SPORT LADIN,"STRADA ROMA, 26 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.42015,11.67238",455,STRADA,ROMA,VIGO DI FASSA,26,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-763311,,,46.42015,11.67238,
OREFICERIA OROLOGERIA POLLAM,"STRADA ROMA, 17 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.42046,11.67461",456,STRADA,ROMA,VIGO DI FASSA,17,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-763233,,,46.42046,11.67461,
BAR BIANCO,"STRADA REZIA, 28 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.42006,11.67187",457,STRADA,REZIA,VIGO DI FASSA,28,,38039,022250,COMUNITA’ GENERAL DE FASCIA,,,,46.42006,11.67187,
MACELLERIA F.LLI PELLEGRIN,"STRADA DANIEL ZEN, 9 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.42080,11.67178",458,STRADA,DANIEL ZEN,VIGO DI FASSA,9,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-763156,info@macelleriapellegrin.com,http://www.macelleriapellegrin.com/,46.42080,11.67178,
BAR HOTEL MIRAMONTI,"STRADA DI MOLINS, 10 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.41929,11.66807",459,STRADA,DI MOLINS,VIGO DI FASSA,10,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-764121,info@miramonti.net,http://www.miramonti.net/,46.41929,11.66807,
BAR RISTORANTE ACTIVE HOTEL OLYMPIC,"STRADA DE CIARLONCH, 5 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.41857,11.68052",460,STRADA,DE CIARLONCH,VIGO DI FASSA,5,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-764225,info@olympicspahotel.it,https://www.olympicspahotel.it/,46.41857,11.68052,
BAR RISTORANTE HOTEL DOLOMITI,"STRADA DOLOMITES, 9 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.42099,11.68175",461,STRADA,DOLOMITES,VIGO DI FASSA,9,,38039,022250,COMUNITA’ GENERAL DE FASCIA,,,,46.42099,11.68175,
TONY SPORT,"STRADA REZIA, 11 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.41976,11.67185",462,STRADA,REZIA,VIGO DI FASSA,11,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-763275,info@tonysport.it,https://www.tonysport.it/,46.41976,11.67185,
RISTORANTE TIPICO EL TOBIA’,"STRADA DE LA PIAZEDELA, 9 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.42020,11.67374",463,STRADA,DE LA PIAZEDELA,VIGO DI FASSA,9,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-764493 - 389 925 0173,info@ladin.it,https://www.ladin.it/ristorante.html,46.42020,11.67374,
BAR RISTORANTE HOTEL FONTANA,"STRADA DE VALONGIA, 36 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.41262,11.65930",464,STRADA,DE VALONGIA,VIGO DI FASSA,36,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-769090,info@hotelfontana.net,https://www.hotelfontana.net/it/Ristorante-Fontana-Vigo-Di-Fassa,46.41262,11.65930,
DA FLORA,"STRADA REZIA, 22 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.42009,11.67216",465,STRADA,REZIA,VIGO DI FASSA,22,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-764090,daflora49@hotmail.it,,46.42009,11.67216,
LA BOTEIGA,"VIA ROMA, 48 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.41963,11.67041",466,VIA,ROMA,VIGO DI FASSA,48,,38039,022250,COMUNITA’ GENERAL DE FASCIA,,,,46.41963,11.67041,
BAR ALBERGO BELVEDERE,"STRADA MURADA, 3 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.41601,11.66953",467,STRADA,MURADA,VIGO DI FASSA,3,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-764185,info@hotelbelvedere.tn.it,http://www.hotelbelvedere.tn.it/,46.41601,11.66953,
BAR RISTORANTE HOTEL RENATO,"STRADA DE SOLAR, 27 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.41899,11.67169",468,STRADA,DE SOLAR,VIGO DI FASSA,27,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-764006,info@hotelrenato.it,https://www.hotelrenato.it/,46.41899,11.67169,
PANIFICIO EL PECH,"STRADA REZIA, 26 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.42008,11.67205",469,STRADA,REZIA,VIGO DI FASSA,26,,38039,022250,COMUNITA’ GENERAL DE FASCIA,,,,46.42008,11.67205,
FAMIGLIA COOPERATIVA VIGO DI FASSA,"STRADA REZIA, 30 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SETTORE ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.42010,11.67187",470,STRADA,REZIA,VIGO DI FASSA,30,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-761211,info@fassacoop.it,https://www.fassacoop.it/,46.42010,11.67187,
ELECTRO POLLAM,"STRADA ROMA, 25 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SETTORE NON ALIMENTARE,ARTIGIANO,"46.42042,11.67449",471,STRADA,ROMA,VIGO DI FASSA,25,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-763234,,,46.42042,11.67449,
BAR RISTORANTE HOTEL VAEL,"STRADA REZIA, 29 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.41859,11.66885",472,STRADA,REZIA,VIGO DI FASSA,29,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-764110,info@hotelvael.it,http://www.hotelvael.it/,46.41859,11.66885,
RISTORANTE HOTEL SAVOY,"JOUF DE CIAREJA, 2 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.40451,11.60921",473,JOUF,DE CIAREJA,VIGO DI FASSA,2,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-764047,prenotazioni@mytimehotels.it,https://www.hotelsavoycarezza.it/ppc/estate/?gclid=CjwKCAjwt7SWBhAnEiwAx8ZLamA2fVOJOEmERAzkkxtCEuerhdcVhVb5V1niiKU6z4NpK8cosabcShoC5EgQAvD_BwE,46.40451,11.60921,
SPORT LUCY,VIGO DI FASSA / PASSO COSTALUNGA,SAN GIOVANNI DI FASSA,SETTORE NON ALIMENTARE,COMMERCIO AL DETTAGLIO,"46.40451,11.60805",474,,,VIGO DI FASSA / PASSO COSTALUNGA,,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0471-612162,info@sportlucy.it,https://www.sportlucy.it/estate/,46.40451,11.60805,
LORENZ EMILIO BIBITE,"STRADA DE PILAT, 9 - VIGO DI FASSA",SAN GIOVANNI DI FASSA,SOMMINISTRAZIONE DI ALIMENTI E BEVANDE,PUBBLICO ESERCIZIO,"46.42018,11.67912",475,STRADA,DE PILAT,VIGO DI FASSA,9,,38039,022250,COMUNITA’ GENERAL DE FASCIA,0462-763195,,,46.42018,11.67912,
